Unnamed: 0,car_name,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price
15213,111,29,45,9,75000,0,1,0,12.55,2982,168.7,7,1175000
15214,73,18,42,8,74000,0,1,1,20.77,1248,88.8,7,730000
15216,76,18,88,4,19072,0,4,1,22.0,1197,81.8,5,499000
15217,39,8,117,13,90000,1,4,1,20.36,1197,78.9,5,240000
15218,73,18,42,9,48475,0,1,1,20.77,1248,88.8,7,675000
15219,20,6,38,8,50000,0,4,0,16.5,1499,110.0,5,535000
15220,39,8,117,10,82000,0,4,1,20.36,1197,78.9,5,375000
15222,46,11,111,4,7600,0,1,0,19.33,1999,177.0,5,3500000
15223,40,8,118,5,34000,0,1,1,21.19,1396,88.73,5,725000
15225,73,18,42,7,55392,0,0,1,22.8,1373,80.9,7,650000
15226,67,18,23,5,30000,1,4,0,23.1,998,67.04,5,500000
15227,39,8,117,12,50000,1,4,1,20.36,1197,78.9,5,200000
15229,64,17,114,5,38988,0,1,1,16.0,2179,140.0,7,1199000
15230,20,6,38,4,36600,1,1,1,22.77,1498,98.59,5,750000
15231,24,7,10,3,43772,0,1,1,25.8,1498,98.6,5,860000
15232,66,18,13,5,55368,0,1,1,27.39,1248,74.0,5,690000
15233,115,30,73,8,35000,1,1,1,19.7,1598,103.6,5,380000
15236,34,8,54,6,50000,1,1,1,24.0,1120,70.0,5,345000
15237,79,18,100,8,57000,0,4,1,21.79,998,67.05,5,235000
15238,58,17,62,4,30000,1,4,1,18.15,1198,82.0,5,400000
15239,73,18,42,8,74840,0,1,1,20.77,1248,88.8,7,630000
15240,78,18,98,5,120000,1,1,1,24.3,1248,88.5,5,664000
15242,30,7,99,4,15200,0,4,1,17.5,1199,88.7,5,781000
15243,76,18,88,6,70000,1,4,1,20.4,1197,81.8,5,428000
15244,76,18,88,6,82000,0,1,1,28.4,1248,74.0,5,555000
15246,67,18,23,4,15996,0,4,0,23.1,998,67.04,5,450000
15247,40,8,118,2,25000,1,4,1,18.6,1197,81.86,5,770000
15248,79,18,100,17,48500,0,4,1,18.9,998,67.1,5,110000
15249,113,29,60,4,44000,1,1,1,13.68,2393,147.8,7,2100000
15250,116,30,95,6,44300,0,4,0,16.93,1197,103.2,5,625000
15251,77,18,89,6,28375,0,1,1,26.59,1248,74.0,5,475000
15252,77,18,89,9,29548,0,4,1,17.5,1298,85.8,5,330000
15253,97,25,64,2,15000,1,4,1,23.01,999,67.0,5,400000
15254,79,18,100,5,39000,1,4,0,20.51,998,67.0,5,395000
15256,5,1,1,6,52000,0,1,0,18.12,1995,190.0,5,1850000
15257,78,18,98,5,40000,1,1,1,24.3,1248,88.5,5,680000
15258,102,27,87,11,72000,0,4,0,9.3,2771,193.1,5,385000
15259,39,8,117,5,59265,0,4,1,19.81,1086,68.05,5,350000
15260,79,18,100,13,44000,0,4,1,18.9,1061,67.0,5,165000
15262,77,18,89,5,40000,0,1,1,19.3,1248,73.9,5,675000
15263,76,18,88,5,70000,0,4,1,22.0,1197,81.8,5,525000
15264,76,18,88,4,58000,0,1,1,25.2,1248,74.0,5,625000
15265,40,8,118,4,9653,0,4,1,18.6,1197,81.83,5,560000
15266,65,18,7,5,31000,0,0,1,32.26,998,58.2,4,325000
